,k,strategy_type,daily_return,p-1 an~return,p-1 an~std,p-1 sharpe,p-1 max~draw,p-2 an~return,p-2 an~std,p-2 sharpe,p-2 max~draw,p-3 an~return,p-3 an~std,p-3 sharpe,p-3 max~draw,p-4 an~return,p-4 an~std,p-4 sharpe,p-4 max~draw,p-5 an~return,p-5 an~std,p-5 sharpe,p-5 max~draw
0,100,FC,"            daily_return
date                    
2000-07-12      0.000000
2000-07-13      0.003953
2000-07-14     -0.000953
2000-07-17      0.002976
2000-07-18     -0.000909
...                  ...
2023-12-25     -0.000026
2023-12-26      0.003409
2023-12-27      0.000096
2023-12-28      0.001957
2023-12-29     -0.000105

[5695 rows x 1 columns]",0.0810783059714768,0.12783855267581665,0.3995532247694114,-0.26765090383410944,0.0036655262269347233,0.22962374300462546,-0.11468532577894092,-0.4356594616833429,0.11064320853983323,0.12872892662230226,0.6264575543028089,-0.18925766131160157,-0.237263357139737,0.496344890719429,-0.5384629964707628,-0.32410643076814605,0.3397716850690353,0.14253092988791718,2.1733646536413684,-0.07998841609297946
1,100,GMSC,"            daily_return
date                    
2000-07-12      0.000000
2000-07-13      0.001927
2000-07-14     -0.003868
2000-07-17      0.003302
2000-07-18     -0.001091
...                  ...
2023-12-25     -0.000031
2023-12-26      0.003595
2023-12-27      0.000149
2023-12-28      0.001927
2023-12-29     -0.001486

[5695 rows x 1 columns]",0.08559694827718345,0.13461396942152598,0.4130102434100944,-0.26915673190517503,0.0056565097418248556,0.2644283089405246,-0.09206083250205445,-0.46813341370445544,0.10465849058520527,0.13759050803191425,0.5426136704712811,-0.18375305918746276,-0.33383787893076744,0.5480306372662316,-0.6639006183043306,-0.35724842127069134,0.34987808920850383,0.15638331054554577,2.045474597593591,-0.0830411128196705
2,10,FC,"            daily_return
date                    
2000-07-12      0.000000
2000-07-13     -0.004993
2000-07-14      0.002817
2000-07-17      0.000956
2000-07-18     -0.003294
...                  ...
2023-12-25     -0.000034
2023-12-26      0.002083
2023-12-27     -0.001119
2023-12-28     -0.000600
2023-12-29     -0.004076

[5695 rows x 1 columns]",0.11205805066368013,0.17611240853219362,0.4659413345578077,-0.30065285221441707,0.12402176338177795,0.3679587849890314,0.2555225400708416,-0.5321028960307193,0.08792825781217295,0.1668068965297677,0.3472773549373919,-0.2645736317368851,-0.34536274627379826,0.5507765633141042,-0.6815154661178483,-0.33615146597766343,0.39804123527275626,0.17340880613641607,2.122390687490392,-0.13435896727119395
3,10,GMSC,"            daily_return
date                    
2000-07-12      0.000000
2000-07-13     -0.000011
2000-07-14      0.005424
2000-07-17      0.006828
2000-07-18     -0.015052
...                  ...
2023-12-25     -0.000022
2023-12-26      0.002193
2023-12-27     -0.001433
2023-12-28      0.001966
2023-12-29     -0.003326

[5695 rows x 1 columns]",0.04459295782587258,0.18243811379221117,0.07998853705806949,-0.4080898146106058,0.1214706120058826,0.3637644378215833,0.2514556193388714,-0.5339159855801036,0.11359537705436984,0.16077866127326162,0.5199407458200562,-0.18566539585642491,-0.3809936818670826,0.592942419295587,-0.693142653472729,-0.36260916495816614,0.47435122051456347,0.1909607702240735,2.326924111131105,-0.12134800485259385
4,200,FC,"            daily_return
date                    
2000-07-12      0.000000
2000-07-13      0.000603
2000-07-14      0.001383
2000-07-17      0.001724
2000-07-18     -0.001929
...                  ...
2023-12-25     -0.000025
2023-12-26      0.003807
2023-12-27      0.000446
2023-12-28      0.001927
2023-12-29     -0.000837

[5695 rows x 1 columns]",0.0910079420737504,0.12209850171478956,0.4996616765720773,-0.24418325253477316,-0.02734888839708094,0.24270645120585913,-0.23628909784700644,-0.46587781192797206,0.1184622342884476,0.1268311463273215,0.6974803654312741,-0.18512693943929645,-0.2582687188541912,0.5066907061550419,-0.5689244253988431,-0.3300675000185643,0.3515367787570882,0.14143389973169643,2.2734067247459864,-0.07721226756749298
5,200,GMSC,"            daily_return
date                    
2000-07-12      0.000000
2000-07-13     -0.000507
2000-07-14     -0.000807
2000-07-17      0.000622
2000-07-18     -0.001103
...                  ...
2023-12-25     -0.000030
2023-12-26      0.004220
2023-12-27      0.000904
2023-12-28      0.002151
2023-12-29     -0.001914

[5695 rows x 1 columns]",0.09301030096691143,0.1315765335465736,0.4788870725539212,-0.2553612142203486,-0.025892386225533803,0.26535570326061175,-0.21063193870998373,-0.4818467401714931,0.11092561549684565,0.13483884550288924,0.6001654433856127,-0.18635950038005722,-0.3874000475568462,0.5550838906796656,-0.751958495941516,-0.3705512674027769,0.36069253610555974,0.15591487618183295,2.1209812957161023,-0.08360643086853574
6,20,FC,"            daily_return
date                    
2000-07-12      0.000000
2000-07-13     -0.004075
2000-07-14      0.004662
2000-07-17     -0.005649
2000-07-18      0.004609
...                  ...
2023-12-25     -0.000029
2023-12-26      0.001502
2023-12-27     -0.001096
2023-12-28      0.000507
2023-12-29     -0.000975

[5695 rows x 1 columns]",0.11364585453600218,0.15779375124286238,0.5300961151957264,-0.27537895111675387,0.04429777300301918,0.2766384450336481,0.05168396967124405,-0.43136061450966423,0.12327627608219571,0.14969789006407017,0.6230967987743434,-0.1835484392550894,-0.3682875934830008,0.5442263605538962,-0.731841789283482,-0.3628114237074129,0.38545118021199976,0.156787292293183,2.2670917713619736,-0.09180797319076872
7,20,GMSC,"            daily_return
date                    
2000-07-12      0.000000
2000-07-13      0.000086
2000-07-14     -0.002793
2000-07-17     -0.004562
2000-07-18      0.003392
...                  ...
2023-12-25     -0.000022
2023-12-26      0.003301
2023-12-27     -0.000710
2023-12-28      0.001202
2023-12-29     -0.002682

[5695 rows x 1 columns]",0.06196434062478273,0.1631346398506776,0.1959384018871818,-0.37162995546577066,0.03908785933095671,0.29897163391889886,0.03039706212871669,-0.48644592026255273,0.12683225936099207,0.151059390121359,0.6410211194630032,-0.15942133324059743,-0.3379005033264153,0.5767060202187664,-0.6379342167901364,-0.3515853512333128,0.35055444985419726,0.16926772034045326,1.8937718852091612,-0.08865467199303541
8,300,FC,"            daily_return
date                    
2000-07-12      0.000000
2000-07-13      0.000424
2000-07-14      0.001283
2000-07-17      0.001013
2000-07-18     -0.001735
...                  ...
2023-12-25     -0.000025
2023-12-26      0.003779
2023-12-27      0.000863
2023-12-28      0.001630
2023-12-29     -0.000740

[5695 rows x 1 columns]",0.08259864496507241,0.12315919918412435,0.4270784912009444,-0.25032589479927725,-0.030064412659425055,0.24824644144984154,-0.2419547781173779,-0.46688655474401286,0.11879347614541524,0.12756696525179922,0.6960538409779478,-0.1769379210129749,-0.27246837820449,0.5168983438591686,-0.585160277253469,-0.33751454880993226,0.34019346085404023,0.14305527059070267,2.1683469582993475,-0.07693868593244811
9,300,GMSC,"            daily_return
date                    
2000-07-12      0.000000
2000-07-13      0.000476
2000-07-14      0.000954
2000-07-17      0.000812
2000-07-18     -0.002035
...                  ...
2023-12-25     -0.000030
2023-12-26      0.004132
2023-12-27      0.001064
2023-12-28      0.001908
2023-12-29     -0.001386

[5695 rows x 1 columns]",0.08294597222443345,0.12716721667117986,0.41634922592775986,-0.259247357883613,-0.0315977671113884,0.2553707606295522,-0.2412091617675204,-0.48071517992870977,0.11849762268530273,0.13139936334428734,0.6735011527675733,-0.18063116816782698,-0.3102704533211007,0.541389587305541,-0.6285131101516074,-0.35195338554049693,0.3477059020977735,0.14953666214746586,2.1246020710591176,-0.08118356599674505
