k,type,p-1 an~return,p-1 an~std,p-1 sharpe,p-1 max~draw,,,,,,,,,,,,,,,,,,,,,,,,,,k,10,,30,,50,,100,,150,,200,,,k,10,,30,,50,,100,,150,,200,,,k,10,,30,,50,,100,,150,,200,,,k,10,,30,,50,,100,,150,,200,
200,FC,0.11 ,0.12 ,0.66 ,-0.22 ,,,p-2 an~std,0.27 ,0.28 ,,0.24 ,0.29 ,,0.24 ,0.25 ,,0.25 ,0.25 ,,0.25 ,0.25 ,,0.26 ,0.26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMSC,0.11 ,0.13 ,0.64 ,-0.23 ,,,p-2 sharpe,-0.03 ,-0.17 ,-0.13 ,-0.06 ,-0.15 ,-0.09 ,-0.14 ,-0.11 ,0.04 ,-0.19 ,-0.15 ,0.04 ,-0.19 ,-0.18 ,0.01 ,-0.20 ,-0.18 ,0.03 ,-0.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,p-2 max~draw,-0.46 ,-0.48 ,,-0.43 ,-0.53 ,,-0.43 ,-0.45 ,,-0.47 ,-0.46 ,,-0.48 ,-0.47 ,,-0.47 ,-0.46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k,type,p-2 an~return,p-2 an~std,p-2 sharpe,p-2 max~draw,,,Bull market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FC,0.02 ,0.27 ,-0.03 ,-0.46 ,,,p-3 an~return,0.10 ,0.13 ,,0.13 ,0.14 ,,0.12 ,0.12 ,,0.12 ,0.11 ,,0.12 ,0.11 ,,0.13 ,0.11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMSC,-0.02 ,0.28 ,-0.17 ,-0.48 ,,,p-3 an~std,0.17 ,0.15 ,,0.15 ,0.15 ,,0.14 ,0.14 ,,0.14 ,0.13 ,,0.13 ,0.13 ,,0.13 ,0.13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,FC,0.02 ,0.24 ,-0.06 ,-0.43 ,,,p-3 sharpe,0.41 ,0.68 ,0.27 ,0.70 ,0.72 ,0.03 ,0.67 ,0.63 ,-0.04 ,0.67 ,0.58 ,-0.09 ,0.72 ,0.60 ,-0.12 ,0.77 ,0.64 ,-0.13 ,0.65 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMSC,-0.01 ,0.29 ,-0.15 ,-0.53 ,,,p-3 max~draw,-0.27 ,-0.25 ,,-0.21 ,-0.25 ,,-0.22 ,-0.21 ,,-0.19 ,-0.19 ,,-0.18 ,-0.17 ,,-0.17 ,-0.17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,FC,0.00 ,0.24 ,-0.14 ,-0.43 ,,,COVID-19 pandemic crisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMSC,0.00 ,0.25 ,-0.11 ,-0.45 ,,,p-4 an~return,-0.42 ,-0.26 ,,-0.27 ,-0.28 ,,-0.28 ,-0.29 ,,-0.30 ,-0.29 ,,-0.28 ,-0.31 ,,-0.32 ,-0.32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,FC,-0.02 ,0.25 ,-0.19 ,-0.47 ,,,p-4 an~std,0.62 ,0.57 ,,0.53 ,0.55 ,,0.51 ,0.51 ,,0.54 ,0.52 ,,0.53 ,0.52 ,,0.53 ,0.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMSC,-0.01 ,0.25 ,-0.15 ,-0.46 ,,,p-4 sharpe,-0.73 ,-0.51 ,0.22 ,-0.58 ,-0.57 ,0.01 ,-0.61 ,-0.63 ,-0.02 ,-0.61 ,-0.61 ,0.01 ,-0.60 ,-0.66 ,-0.06 ,-0.66 ,-0.66 ,0.00 ,-0.55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,FC,-0.02 ,0.25 ,-0.19 ,-0.48 ,,,p-4 max~draw,-0.38 ,-0.32 ,,-0.35 ,-0.34 ,,-0.34 ,-0.34 ,,-0.35 ,-0.34 ,,-0.34 ,-0.34 ,,-0.35 ,-0.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMSC,-0.02 ,0.25 ,-0.18 ,-0.47 ,,,Bull market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,FC,-0.02 ,0.26 ,-0.20 ,-0.47 ,,,p-5 an~return,0.46 ,0.32 ,,0.39 ,0.41 ,,0.37 ,0.28 ,,0.40 ,0.29 ,,0.38 ,0.30 ,,0.38 ,0.34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMSC,-0.01 ,0.26 ,-0.18 ,-0.46 ,,,p-5 an~std,0.20 ,0.18 ,,0.16 ,0.17 ,,0.15 ,0.15 ,,0.15 ,0.15 ,,0.15 ,0.14 ,,0.15 ,0.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,p-5 sharpe,2.20 ,1.59 ,-0.61 ,2.28 ,2.27 ,-0.01 ,2.33 ,1.68 ,-0.65 ,2.39 ,1.80 ,-0.59 ,2.37 ,1.85 ,-0.52 ,2.35 ,2.07 ,-0.29 ,2.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k,type,p-3 an~return,p-3 an~std,p-3 sharpe,p-3 max~draw,,,p-5 max~draw,-0.13 ,-0.13 ,,-0.08 ,-0.08 ,,-0.07 ,-0.08 ,,-0.08 ,-0.08 ,,-0.07 ,-0.08 ,,-0.08 ,-0.08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FC,0.10 ,0.17 ,0.41 ,-0.27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMSC,0.13 ,0.15 ,0.68 ,-0.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,FC,0.13 ,0.15 ,0.70 ,-0.21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMSC,0.14 ,0.15 ,0.72 ,-0.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,FC,0.12 ,0.14 ,0.67 ,-0.22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMSC,0.12 ,0.14 ,0.63 ,-0.21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,FC,0.12 ,0.14 ,0.67 ,-0.19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMSC,0.11 ,0.13 ,0.58 ,-0.19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,FC,0.12 ,0.13 ,0.72 ,-0.18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMSC,0.11 ,0.13 ,0.60 ,-0.17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,FC,0.13 ,0.13 ,0.77 ,-0.17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMSC,0.11 ,0.13 ,0.64 ,-0.17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k,type,p-4 an~return,p-4 an~std,p-4 sharpe,p-4 max~draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FC,-0.42 ,0.62 ,-0.73 ,-0.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMSC,-0.26 ,0.57 ,-0.51 ,-0.32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,FC,-0.27 ,0.53 ,-0.58 ,-0.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMSC,-0.28 ,0.55 ,-0.57 ,-0.34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,FC,-0.28 ,0.51 ,-0.61 ,-0.34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMSC,-0.29 ,0.51 ,-0.63 ,-0.34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,FC,-0.30 ,0.54 ,-0.61 ,-0.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
